https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),44156,44156,835,835
Alagoas (AL),110572,110572,2602,2602
Amapá (AP),72824,72824,995,994
Amazonas (AM),226511,226511,6043,6043
Bahia (BA),528539,528539,9575,9575
Ceará (CE),351731,351351,10220,10209
Distrito Federal(DF),262928,262928,4406,4406
Espírito Santo (ES),273031,272957,5474,5469
Goiás (GO),327821,327030,7077,7072
Maranhão (MA),203156,203156,4594,4594
Mato Grosso (MT),197394,196313,4761,4689
Mato Grosso do Sul (MS),149731,148415,2661,2648
Minas Gerais (MG),628966,628966,13182,13182
Pará (PA),308936,307520,7388,7376
Paraíba (PB),175997,175997,3869,3869
Paraná (PR),497505,497505,9042,9042
Pernambuco (PE),239155,239155,9964,9964
Piauí (PI),151046,150374,2945,2935
Rio de Janeiro (RJ),477044,477044,27591,27591
Rio Grande do Norte (RN),130335,127847,3190,3149
Rio Grande do Sul (RS),500792,500792,9838,9838
Rondônia (RO),107332,107332,1993,1993
Roraima (RR),70752,70475,811,805
Santa Catarina (SC),537036,537036,5836,5836
São Paulo (SP),1605845,1605845,49600,49600
Sergipe (SE),127349,127349,2629,2629
Tocantins (TO),96058,95503,1308,1301
TOTAL,8402542,8393492,208429,208246
