https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1694,52
Alagoas (AL),,2761,164
Amapá (AP),,3005,94
Amazonas (AM),,15816,1160
Bahia (BA),,6547,236
Ceará (CE),,19156,1389
Distrito Federal(DF),,3192,48
Espírito Santo (ES),,5401,233
Goiás (GO),,1134,61
Maranhão (MA),,9112,444
Mato Grosso (MT),,661,20
Mato Grosso do Sul (MS),,430,13
Minas Gerais (MG),,3733,135
Pará (PA),,9618,946
Paraíba (PB),,3045,157
Paraná (PR),,1996,117
Pernambuco (PE),,14901,1224
Piauí (PI),,1612,57
Rio de Janeiro (RJ),,18728,2050
Rio Grande do Norte (RN),,2367,105
Rio Grande do Sul (RS),,2917,111
Rondônia (RO),,1612,50
Roraima (RR),,1411,29
Santa Catarina (SC),,3828,73
São Paulo (SP),,51097,4118
Sergipe (SE),,2268,42
Tocantins (TO),,932,21
TOTAL,,188974,13149
