https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,258,11
Alagoas (AL),,501,29
Amapá (AP),,685,19
Amazonas (AM),,3635,287
Bahia (BA),,2081,70
Ceará (CE),,5421,310
Distrito Federal(DF),,1013,26
Espírito Santo (ES),,1595,47
Goiás (GO),,506,25
Maranhão (MA),,2105,100
Mato Grosso (MT),,247,9
Mato Grosso do Sul (MS),,217,7
Minas Gerais (MG),,1481,58
Pará (PA),,1579,86
Paraíba (PB),,447,46
Paraná (PR),,1140,69
Pernambuco (PE),,4507,381
Piauí (PI),,297,17
Rio de Janeiro (RJ),,6828,615
Rio Grande do Norte (RN),,781,40
Rio Grande do Sul (RS),,1096,34
Rondônia (RO),,328,7
Roraima (RR),,345,3
Santa Catarina (SC),,1209,42
São Paulo (SP),,20004,1667
Sergipe (SE),,153,9
Tocantins (TO),,50,2
TOTAL,0,58509,4016
