https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),15465,15465,411,411
Alagoas (AL),43191,43191,1230,1230
Amapá (AP),30763,30763,467,467
Amazonas (AM),81318,81318,2985,2985
Bahia (BA),98319,98319,2328,2328
Ceará (CE),131324,131000,6774,6741
Distrito Federal(DF),65677,65677,823,823
Espírito Santo (ES),60009,60009,1930,1930
Goiás (GO),34654,33876,795,769
Maranhão (MA),95323,95323,2357,2357
Mato Grosso (MT),25264,25264,928,928
Mato Grosso do Sul (MS),11671,11671,136,136
Minas Gerais (MG),66864,66864,1445,1445
Pará (PA),122674,120731,5224,5196
Paraíba (PB),57619,57614,1196,1196
Paraná (PR),37424,37424,931,931
Pernambuco (PE),68767,68767,5409,5409
Piauí (PI),31269,29745,896,884
Rio de Janeiro (RJ),128324,128324,11115,11115
Rio Grande do Norte (RN),37137,37060,1351,1345
Rio Grande do Sul (RS),36434,36434,870,870
Rondônia (RO),25402,25402,589,589
Roraima (RR),21220,20154,393,393
Santa Catarina (SC),38408,38408,447,447
São Paulo (SP),349715,349715,17118,17118
Sergipe (SE),33416,33416,901,901
Tocantins (TO),13845,13845,240,240
TOTAL,1761496,1755779,69289,69184
