https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,3103,78
Alagoas (AL),,4916,262
Amapá (AP),,5188,151
Amazonas (AM),,25367,1620
Bahia (BA),,11941,376
Ceará (CE),,31413,2161
Distrito Federal(DF),,5542,84
Espírito Santo (ES),,8878,363
Goiás (GO),,2114,85
Maranhão (MA),,16058,663
Mato Grosso (MT),,1172,34
Mato Grosso do Sul (MS),,746,17
Minas Gerais (MG),,5596,191
Pará (PA),,19756,1852
Paraíba (PB),,6238,245
Paraná (PR),,2810,141
Pernambuco (PE),,23911,1925
Piauí (PI),,2852,91
Rio de Janeiro (RJ),,32089,3412
Rio Grande do Norte (RN),,4060,178
Rio Grande do Sul (RS),,5473,166
Rondônia (RO),,2659,101
Roraima (RR),,2146,72
Santa Catarina (SC),,5610,98
São Paulo (SP),,73739,5558
Sergipe (SE),,4734,76
Tocantins (TO),,1976,47
TOTAL,,310087,20047
