https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1014,36
Alagoas (AL),,1867,98
Amapá (AP),,2199,61
Amazonas (AM),,10099,806
Bahia (BA),,4528,165
Ceará (CE),,13888,903
Distrito Federal(DF),,2258,35
Espírito Santo (ES),,3838,155
Goiás (GO),,1027,44
Maranhão (MA),,5389,305
Mato Grosso (MT),,417,13
Mato Grosso do Sul (MS),,311,10
Minas Gerais (MG),,2770,106
Pará (PA),,5524,410
Paraíba (PB),,1657,101
Paraná (PR),,1656,104
Pernambuco (PE),,10824,845
Piauí (PI),,1051,35
Rio de Janeiro (RJ),,14156,1394
Rio Grande do Norte (RN),,1739,76
Rio Grande do Sul (RS),,2129,90
Rondônia (RO),,1098,37
Roraima (RR),,1020,14
Santa Catarina (SC),,3082,63
São Paulo (SP),,39928,3206
Sergipe (SE),,1214,25
Tocantins (TO),,423,9
TOTAL,0,135106,9146
