https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,5600,122
Alagoas (AL),,8055,385
Amapá (AP),,8152,198
Amazonas (AM),,36146,1964
Bahia (BA),,15963,570
Ceará (CE),,37821,2733
Distrito Federal(DF),,8300,142
Espírito Santo (ES),,12203,538
Goiás (GO),,3090,115
Maranhão (MA),,27979,887
Mato Grosso (MT),,1951,51
Mato Grosso do Sul (MS),,1262,18
Minas Gerais (MG),,8686,255
Pará (PA),,33699,2704
Paraíba (PB),,11132,318
Paraná (PR),,3984,169
Pernambuco (PE),,30713,2566
Piauí (PI),,4243,138
Rio de Janeiro (RJ),,44886,4856
Rio Grande do Norte (RN),,5630,254
Rio Grande do Sul (RS),,8234,213
Rondônia (RO),,4252,142
Roraima (RR),,2959,102
Santa Catarina (SC),,8000,131
São Paulo (SP),,95865,6980
Sergipe (SE),,6156,135
Tocantins (TO),,3277,68
TOTAL,,438238,26754
