https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,135,5
Alagoas (AL),,110,7
Amapá (AP),,370,10
Amazonas (AM),,1809,145
Bahia (BA),,1059,36
Ceará (CE),,2684,149
Distrito Federal(DF),,746,20
Espírito Santo (ES),,856,25
Goiás (GO),,335,16
Maranhão (MA),,797,40
Mato Grosso (MT),,162,5
Mato Grosso do Sul (MS),,143,5
Minas Gerais (MG),,1021,35
Pará (PA),,557,26
Paraíba (PB),,195,26
Paraná (PR),,874,42
Pernambuco (PE),,2006,186
Piauí (PI),,102,8
Rio de Janeiro (RJ),,4349,341
Rio Grande do Norte (RN),,463,23
Rio Grande do Sul (RS),,802,22
Rondônia (RO),,92,3
Roraima (RR),,164,3
Santa Catarina (SC),,926,30
São Paulo (SP),,12841,928
Sergipe (SE),,53,4
Tocantins (TO),,31,1
TOTAL,0,33682,
