https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,195,8
Alagoas (AL),,210,19
Amapá (AP),,457,13
Amazonas (AM),,2270,193
Bahia (BA),,1489,47
Ceará (CE),,3716,215
Distrito Federal(DF),,881,24
Espírito Santo (ES),,1212,34
Goiás (GO),,421,19
Maranhão (MA),,1396,60
Mato Grosso (MT),,181,6
Mato Grosso do Sul (MS),,173,6
Minas Gerais (MG),,1230,44
Pará (PA),,1026,38
Paraíba (PB),,263,33
Paraná (PR),,1024,51
Pernambuco (PE),,2908,260
Piauí (PI),,186,14
Rio de Janeiro (RJ),,5306,461
Rio Grande do Norte (RN),,608,28
Rio Grande do Sul (RS),,904,27
Rondônia (RO),,199,4
Roraima (RR),,247,3
Santa Catarina (SC),,1063,35
São Paulo (SP),,15385,1093
Sergipe (SE),,92,5
Tocantins (TO),,37,1
TOTAL,0,43079,2741
