https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),33725,33725,709,709
Alagoas (AL),92951,92951,2304,2304
Amapá (AP),55652,55652,783,783
Amazonas (AM),171161,171161,4728,4728
Bahia (BA),377445,377445,8013,8013
Ceará (CE),288494,288122,9466,9461
Distrito Federal(DF),221526,221526,3845,3845
Espírito Santo (ES),174238,174144,4058,4058
Goiás (GO),270918,269857,6130,6107
Maranhão (MA),190321,190321,4203,4203
Mato Grosso (MT),153971,152968,4063,4009
Mato Grosso do Sul (MS),89654,89654,1699,1699
Minas Gerais (MG),387751,387751,9605,9605
Pará (PA),263935,263155,6851,6844
Paraíba (PB),140355,140355,3223,3223
Paraná (PR),246169,246169,5793,5793
Pernambuco (PE),172716,172716,8873,8873
Piauí (PI),121428,120913,2556,2554
Rio de Janeiro (RJ),332396,332396,21698,21698
Rio Grande do Norte (RN),84758,84381,2658,2649
Rio Grande do Sul (RS),287204,287204,6356,6356
Rondônia (RO),76019,76019,1511,1511
Roraima (RR),61245,61001,711,709
Santa Catarina (SC),306788,306788,3384,3384
São Paulo (SP),1184496,1184496,40927,40927
Sergipe (SE),86361,86361,2266,2266
Tocantins (TO),78618,78618,1144,1144
TOTAL,5950295,5945849,167557,167455
