https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,176,8
Alagoas (AL),,171,18
Amapá (AP),,433,13
Amazonas (AM),,2160,185
Bahia (BA),,1341,46
Ceará (CE),,3482,198
Distrito Federal(DF),,872,24
Espírito Santo (ES),,1168,33
Goiás (GO),,403,19
Maranhão (MA),,1320,54
Mato Grosso (MT),,181,6
Mato Grosso do Sul (MS),,171,5
Minas Gerais (MG),,1189,41
Pará (PA),,902,35
Paraíba (PB),,245,32
Paraná (PR),,1007,51
Pernambuco (PE),,2690,234
Piauí (PI),,158,12
Rio de Janeiro (RJ),,4899,422
Rio Grande do Norte (RN),,595,27
Rio Grande do Sul (RS),,889,27
Rondônia (RO),,160,4
Roraima (RR),,244,3
Santa Catarina (SC),,1025,35
São Paulo (SP),,14580,1037
Sergipe (SE),,86,5
Tocantins (TO),,34,1
TOTAL,0,40581,2575
