https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,2817,76
Alagoas (AL),,4437,251
Amapá (AP),,4549,142
Amazonas (AM),,23704,1561
Bahia (BA),,11197,362
Ceará (CE),,30560,1900
Distrito Federal(DF),,5161,77
Espírito Santo (ES),,8092,341
Goiás (GO),,1978,78
Maranhão (MA),,15114,634
Mato Grosso (MT),,1054,32
Mato Grosso do Sul (MS),,693,17
Minas Gerais (MG),,5286,177
Pará (PA),,18135,1633
Paraíba (PB),,5838,230
Paraná (PR),,2616,137
Pernambuco (PE),,22560,1834
Piauí (PI),,2637,87
Rio de Janeiro (RJ),,30372,3237
Rio Grande do Norte (RN),,3796,170
Rio Grande do Sul (RS),,4973,161
Rondônia (RO),,2499,90
Roraima (RR),,2067,64
Santa Catarina (SC),,5499,94
São Paulo (SP),,69859,5363
Sergipe (SE),,4277,69
Tocantins (TO),,1809,42
TOTAL,,291579,18859
