https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1177,38
Alagoas (AL),,2033,108
Amapá (AP),,2322,66
Amazonas (AM),,10727,874
Bahia (BA),,4818,183
Ceará (CE),,14956,966
Distrito Federal(DF),,2442,37
Espírito Santo (ES),,4242,165
Goiás (GO),,1053,49
Maranhão (MA),,5909,330
Mato Grosso (MT),,457,14
Mato Grosso do Sul (MS),,326,11
Minas Gerais (MG),,2943,111
Pará (PA),,6141,515
Paraíba (PB),,2031,114
Paraná (PR),,1711,106
Pernambuco (PE),,11587,927
Piauí (PI),,1131,37
Rio de Janeiro (RJ),,15741,1503
Rio Grande do Norte (RN),,1821,81
Rio Grande do Sul (RS),,2447,91
Rondônia (RO),,1222,39
Roraima (RR),,1124,16
Santa Catarina (SC),,3205,63
São Paulo (SP),,41830,3416
Sergipe (SE),,1438,28
Tocantins (TO),,494,9
TOTAL,0,145328,9897
