https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1997,60
Alagoas (AL),,3816,210
Amapá (AP),,3952,119
Amazonas (AM),,20328,1413
Bahia (BA),,8443,295
Ceará (CE),,24255,1641
Distrito Federal(DF),,4368,59
Espírito Santo (ES),,6744,285
Goiás (GO),,1692,70
Maranhão (MA),,12492,549
Mato Grosso (MT),,901,27
Mato Grosso do Sul (MS),,570,15
Minas Gerais (MG),,4611,156
Pará (PA),,13864,1239
Paraíba (PB),,4347,194
Paraná (PR),,2286,124
Pernambuco (PE),,19452,1516
Piauí (PI),,2252,72
Rio de Janeiro (RJ),,22238,2715
Rio Grande do Norte (RN),,3137,139
Rio Grande do Sul (RS),,3735,142
Rondônia (RO),,1963,74
Roraima (RR),,1791,51
Santa Catarina (SC),,4776,83
São Paulo (SP),,62345,4782
Sergipe (SE),,3343,57
Tocantins (TO),,1382,31
TOTAL,,241080,16118
