https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/14/brasil-tem-121-casos-de-coronavirus-segundo-relatorio-do-ministerio-da-saude.ghtml,,
,,
,,
Estado,Suspeitos,Confirmados
Acre (AC),3,0
Alagoas (AL),6,1
Amapa (AP),0,0
Amazonas (AM),1,0
Bahia (BA),65,2
Ceará (CE),22,0
Distrito Federal(DF),107,6
Espírito Santo (ES),51,1
Goiás (GO),4,3
Maranhão (MA),6,0
Mato Grosso (MT),6,0
Mato Grosso do Sul (MS),15,0
Minas Gerais (MG),106,2
Pará (PA),1,0
Paraíba (PB),11,0
Paraná (PR),60,6
Pernambuco (PE),18,2
Piauí (PI),1,0
Rio de Janeiro (RJ),76,22
Rio Grande do Norte (RN),12,1
Rio Grande do Sul (RS),80,6
Rondônia (RO),2,0
Roraima (RR),0,0
Santa Catarina (SC),85,4
São Paulo (SP),752,65
Sergipe (SE),4,0
Tocantins (TO),2,0
TOTAL,1496,121
