https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),1460,45,
Alagoas (AL),2343,138,
Amapá (AP),2671,73,
Amazonas (AM),12919,1035,
Bahia (BA),5808,211,
Ceará (CE),17599,1189,
Distrito Federal(DF),2783,44,
Espírito Santo (ES),4819,196,
Goiás (GO),1100,49,
Maranhão (MA),8144,399,
Mato Grosso (MT),541,19,
Mato Grosso do Sul (MS),385,11,
Minas Gerais (MG),3320,121,
Pará (PA),7563,708,
Paraíba (PB),2525,139,
Paraná (PR),1849,111,
Pernambuco (PE),13768,1087,
Piauí (PI),1332,45,
Rio de Janeiro (RJ),17939,1770,
Rio Grande do Norte (RN),1989,92,
Rio Grande do Sul (RS),2576,105,
Rondônia (RO),1396,47,
Roraima (RR),1295,24,
Santa Catarina (SC),3529,69,
São Paulo (SP),46131,3743,
Sergipe (SE),1800,37,
Tocantins (TO),747,12,
TOTAL,168331,11519,0
