https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,4160,92
Alagoas (AL),,6214,316
Amapá (AP),,6353,163
Amazonas (AM),,29867,1758
Bahia (BA),,13899,460
Ceará (CE),,35595,2324
Distrito Federal(DF),,6638,104
Espírito Santo (ES),,10007,446
Goiás (GO),,2443,95
Maranhão (MA),,21191,754
Mato Grosso (MT),,1462,40
Mato Grosso do Sul (MS),,924,17
Minas Gerais (MG),,6668,226
Pará (PA),,24125,2148
Paraíba (PB),,7823,272
Paraná (PR),,3212,153
Pernambuco (PE),,27759,2200
Piauí (PI),,3390,107
Rio de Janeiro (RJ),,37912,3993
Rio Grande do Norte (RN),,4697,200
Rio Grande do Sul (RS),,6470,180
Rondônia (RO),,3201,121
Roraima (RR),,2439,84
Santa Catarina (SC),,6696,105
São Paulo (SP),,82161,6163
Sergipe (SE),,5314,93
Tocantins (TO),,2591,52
TOTAL,,363211,22666
