https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,486,19
Alagoas (AL),,1226,53
Amapá (AP),,1121,37
Amazonas (AM),,5723,476
Bahia (BA),,3085,117
Ceará (CE),,7879,505
Distrito Federal(DF),,1466,30
Espírito Santo (ES),,2662,96
Goiás (GO),,808,29
Maranhão (MA),,3506,204
Mato Grosso (MT),,320,11
Mato Grosso do Sul (MS),,261,9
Minas Gerais (MG),,1935,88
Pará (PA),,3176,235
Paraíba (PB),,926,67
Paraná (PR),,1447,89
Pernambuco (PE),,7334,603
Piauí (PI),,600,24
Rio de Janeiro (RJ),,10166,921
Rio Grande do Norte (RN),,1297,56
Rio Grande do Sul (RS),,1529,58
Rondônia (RO),,585,18
Roraima (RR),,602,8
Santa Catarina (SC),,2394,48
São Paulo (SP),,30374,2511
Sergipe (SE),,517,14
Tocantins (TO),,164,3
TOTAL,0,91589,6329
