https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,943,33
Alagoas (AL),,1703,89
Amapá (AP),,2046,56
Amazonas (AM),,9243,751
Bahia (BA),,4301,160
Ceará (CE),,12304,848
Distrito Federal(DF),,1906,34
Espírito Santo (ES),,3568,145
Goiás (GO),,1024,45
Maranhão (MA),,5028,291
Mato Grosso (MT),,379,13
Mato Grosso do Sul (MS),,288,10
Minas Gerais (MG),,2605,97
Pará (PA),,5017,392
Paraíba (PB),,1493,92
Paraná (PR),,1627,101
Pernambuco (PE),,9881,803
Piauí (PI),,949,30
Rio de Janeiro (RJ),,13295,1205
Rio Grande do Norte (RN),,1574,72
Rio Grande do Sul (RS),,2050,87
Rondônia (RO),,943,33
Roraima (RR),,932,13
Santa Catarina (SC),,2917,59
São Paulo (SP),,37853,3045
Sergipe (SE),,998,23
Tocantins (TO),,351,9
TOTAL,0,125218,8536
