https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,817,29
Alagoas (AL),,1606,80
Amapá (AP),,1931,55
Amazonas (AM),,8109,649
Bahia (BA),,4040,146
Ceará (CE),,11470,795
Distrito Federal(DF),,1818,33
Espírito Santo (ES),,3402,133
Goiás (GO),,922,38
Maranhão (MA),,4530,271
Mato Grosso (MT),,365,13
Mato Grosso do Sul (MS),,283,10
Minas Gerais (MG),,2452,94
Pará (PA),,4472,369
Paraíba (PB),,1361,85
Paraná (PR),,1588,99
Pernambuco (PE),,9325,749
Piauí (PI),,875,29
Rio de Janeiro (RJ),,12391,1123
Rio Grande do Norte (RN),,1536,68
Rio Grande do Sul (RS),,1815,79
Rondônia (RO),,861,29
Roraima (RR),,869,11
Santa Catarina (SC),,2623,55
São Paulo (SP),,34053,2851
Sergipe (SE),,898,21
Tocantins (TO),,303,7
TOTAL,0,114715,7921
