https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,404,19
Alagoas (AL),,1044,47
Amapá (AP),,1080,34
Amazonas (AM),,5254,425
Bahia (BA),,2851,104
Ceará (CE),,7606,482
Distrito Federal(DF),,1356,30
Espírito Santo (ES),,2465,83
Goiás (GO),,781,29
Maranhão (MA),,3190,184
Mato Grosso (MT),,297,11
Mato Grosso do Sul (MS),,255,9
Minas Gerais (MG),,1827,82
Pará (PA),,2876,208
Paraíba (PB),,814,62
Paraná (PR),,1407,83
Pernambuco (PE),,6876,565
Piauí (PI),,513,24
Rio de Janeiro (RJ),,9453,854
Rio Grande do Norte (RN),,1177,56
Rio Grande do Sul (RS),,1466,51
Rondônia (RO),,502,16
Roraima (RR),,519,7
Santa Catarina (SC),,2085,46
São Paulo (SP),,28698,2375
Sergipe (SE),,447,12
Tocantins (TO),,137,3
TOTAL,0,85380,5901
