https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/28/casos-de-coronavirus-no-brasil-em-28-de-marco.ghtml,,
,,
,,
Estado,Secretarias,Ministério
Acre (AC),25,25
Alagoas (AL),14,
Amapá (AP),4,
Amazonas (AM),111,
Bahia (BA),128,
Ceará (CE),314,
Distrito Federal(DF),260,
Espírito Santo (ES),53,
Goiás (GO),56,
Maranhão (MA),14,
Mato Grosso (MT),13,
Mato Grosso do Sul (MS),31,
Minas Gerais (MG),205,
Pará (PA),17,
Paraíba (PB),14,
Paraná (PR),133,
Pernambuco (PE),68,
Piauí (PI),11,
Rio de Janeiro (RJ),558,
Rio Grande do Norte (RN),45,
Rio Grande do Sul (RS),197,
Rondônia (RO),6,
Roraima (RR),12,
Santa Catarina (SC),184,
São Paulo (SP),1406,
Sergipe (SE),16,
Tocantins (TO),9,
TOTAL,3904,25
