https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/10/brasil-tem-34-casos-confirmados-de-novo-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Suspeitos,Confirmados
Acre (AC),3,0
Alagoas (AL),6,1
Amapá (AP),0,0
Amazonas (AM),3,0
Bahia (BA),46,2
Ceará (CE),22,0
Distrito Federal(DF),59,1
Espírito Santo (ES),1,1
Goiás (GO),14,0
Maranhão (MA),2,0
Mato Grosso (MT),1,0
Mato Grosso do Sul (MS),6,0
Minas Gerais (MG),122,1
Pará (PA),5,0
Paraíba (PB),5,0
Paraná (PR),33,0
Pernambuco (PE),12,0
Piauí (PI),1,0
Rio de Janeiro (RJ),119,8
Rio Grande do Norte (RN),15,0
Rio Grande do Sul (RS),70,1
Rondônia (RO),2,0
Roraima (RR),0,0
Santa Catarina (SC),42,0
São Paulo (SP),302,19
Sergipe (SE),2,0
Tocantins (TO),0,0
TOTAL,893,34
