https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1740,55
Alagoas (AL),,2972,177
Amapá (AP),,3428,101
Amazonas (AM),,17181,1235
Bahia (BA),,6955,262
Ceará (CE),,21077,1413
Distrito Federal(DF),,3416,51
Espírito Santo (ES),,5813,249
Goiás (GO),,1423,64
Maranhão (MA),,9801,470
Mato Grosso (MT),,719,23
Mato Grosso do Sul (MS),,452,14
Minas Gerais (MG),,3950,139
Pará (PA),,10867,1063
Paraíba (PB),,3361,160
Paraná (PR),,2063,119
Pernambuco (PE),,15588,1298
Piauí (PI),,1784,60
Rio de Janeiro (RJ),,19467,2247
Rio Grande do Norte (RN),,2537,117
Rio Grande do Sul (RS),,2997,120
Rondônia (RO),,1686,56
Roraima (RR),,1500,37
Santa Catarina (SC),,4332,78
São Paulo (SP),,54286,4315
Sergipe (SE),,2494,47
Tocantins (TO),,1029,23
TOTAL,,202918,13993
