https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1335,39
Alagoas (AL),,2172,114
Amapá (AP),,2493,69
Amazonas (AM),,11925,962
Bahia (BA),,5174,196
Ceará (CE),,15879,1062
Distrito Federal(DF),,2576,39
Espírito Santo (ES),,4412,172
Goiás (GO),,1069,47
Maranhão (MA),,6765,355
Mato Grosso (MT),,502,16
Mato Grosso do Sul (MS),,346,11
Minas Gerais (MG),,3123,118
Pará (PA),,6775,578
Paraíba (PB),,2156,124
Paraná (PR),,1785,107
Pernambuco (PE),,12470,972
Piauí (PI),,1233,38
Rio de Janeiro (RJ),,16929,1653
Rio Grande do Norte (RN),,1919,87
Rio Grande do Sul (RS),,2493,95
Rondônia (RO),,1263,41
Roraima (RR),,1202,18
Santa Catarina (SC),,3372,64
São Paulo (SP),,44411,3608
Sergipe (SE),,1588,33
Tocantins (TO),,572,9
TOTAL,0,155939,10627
