https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,6326,161
Alagoas (AL),,10837,461
Amapá (AP),,9890,228
Amazonas (AM),,41774,2071
Bahia (BA),,18898,701
Ceará (CE),,50504,3188
Distrito Federal(DF),,10510,171
Espírito Santo (ES),,14069,614
Goiás (GO),,3906,127
Maranhão (MA),,35297,976
Mato Grosso (MT),,2541,66
Mato Grosso do Sul (MS),,1568,20
Minas Gerais (MG),,10670,278
Pará (PA),,38046,2925
Paraíba (PB),,13695,370
Paraná (PR),,4835,190
Pernambuco (PE),,34900,2875
Piauí (PI),,5119,168
Rio de Janeiro (RJ),,54530,5462
Rio Grande do Norte (RN),,7964,323
Rio Grande do Sul (RS),,9332,232
Rondônia (RO),,5172,159
Roraima (RR),,3692,116
Santa Catarina (SC),,9498,146
São Paulo (SP),,111296,7667
Sergipe (SE),,7233,166
Tocantins (TO),,4345,76
TOTAL,,526447,29937
