https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),37321,37321,732,732
Alagoas (AL),96632,96632,2354,2354
Amapá (AP),61177,61177,827,827
Amazonas (AM),182668,182668,4951,4951
Bahia (BA),423124,423124,8418,8418
Ceará (CE),304640,304443,9704,9693
Distrito Federal(DF),233731,233731,3985,3985
Espírito Santo (ES),200257,200213,4397,4396
Goiás (GO),286044,286019,6460,6456
Maranhão (MA),195086,195086,4339,4339
Mato Grosso (MT),162389,161554,4191,4135
Mato Grosso do Sul (MS),105246,105223,1841,1833
Minas Gerais (MG),441315,441315,10336,10336
Pará (PA),275551,275049,6954,6950
Paraíba (PB),149385,149385,3359,3359
Paraná (PR),301510,301510,6433,6433
Pernambuco (PE),190415,190415,9148,9148
Piauí (PI),131454,130984,2680,2673
Rio de Janeiro (RJ),371075,371075,23131,23131
Rio Grande do Norte (RN),99023,97955,2752,2728
Rio Grande do Sul (RS),349035,349035,7183,7183
Rondônia (RO),82909,82909,1596,1596
Roraima (RR),65015,64905,744,744
Santa Catarina (SC),396188,396188,4011,4011
São Paulo (SP),1287762,1287762,43015,43015
Sergipe (SE),94451,94451,2333,2333
Tocantins (TO),83544,83411,1184,1182
TOTAL,6606947,6603540,177058,176941
