https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1867,59
Alagoas (AL),,3593,199
Amapá (AP),,3834,108
Amazonas (AM),,19677,1375
Bahia (BA),,8314,286
Ceará (CE),,23795,1614
Distrito Federal(DF),,4140,56
Espírito Santo (ES),,6595,271
Goiás (GO),,1640,69
Maranhão (MA),,11592,524
Mato Grosso (MT),,851,27
Mato Grosso do Sul (MS),,508,15
Minas Gerais (MG),,4474,150
Pará (PA),,13184,1199
Paraíba (PB),,4063,183
Paraná (PR),,2242,123
Pernambuco (PE),,18488,1461
Piauí (PI),,2085,65
Rio de Janeiro (RJ),,21601,2614
Rio Grande do Norte (RN),,3004,136
Rio Grande do Sul (RS),,3695,132
Rondônia (RO),,1919,69
Roraima (RR),,1706,49
Santa Catarina (SC),,4678,81
São Paulo (SP),,61183,4688
Sergipe (SE),,3135,53
Tocantins (TO),,1279,27
TOTAL,,233142,15633
