https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,5841,135
Alagoas (AL),,8618,406
Amapá (AP),,8469,207
Amazonas (AM),,38909,2011
Bahia (BA),,16917,609
Ceará (CE),,38395,2859
Distrito Federal(DF),,8722,154
Espírito Santo (ES),,12903,560
Goiás (GO),,3319,119
Maranhão (MA),,30482,911
Mato Grosso (MT),,2103,56
Mato Grosso do Sul (MS),,1356,18
Minas Gerais (MG),,9232,257
Pará (PA),,36486,2827
Paraíba (PB),,12011,327
Paraná (PR),,4236,173
Pernambuco (PE),,32255,2669
Piauí (PI),,4503,146
Rio de Janeiro (RJ),,47953,5079
Rio Grande do Norte (RN),,6463,268
Rio Grande do Sul (RS),,8234,213
Rondônia (RO),,4502,145
Roraima (RR),,3098,108
Santa Catarina (SC),,8530,134
São Paulo (SP),,101556,7275
Sergipe (SE),,6462,142
Tocantins (TO),,3611,70
TOTAL,,465166,27878
