https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,279,11
Alagoas (AL),,554,32
Amapá (AP),,798,21
Amazonas (AM),,3833,304
Bahia (BA),,2209,73
Ceará (CE),,5833,327
Distrito Federal(DF),,1066,27
Espírito Santo (ES),,1703,51
Goiás (GO),,573,25
Maranhão (MA),,2223,112
Mato Grosso (MT),,250,9
Mato Grosso do Sul (MS),,234,7
Minas Gerais (MG),,1548,61
Pará (PA),,1867,100
Paraíba (PB),,499,49
Paraná (PR),,1156,72
Pernambuco (PE),,4898,415
Piauí (PI),,331,18
Rio de Janeiro (RJ),,7111,645
Rio Grande do Norte (RN),,825,44
Rio Grande do Sul (RS),,1166,35
Rondônia (RO),,364,10
Roraima (RR),,401,4
Santa Catarina (SC),,1235,42
São Paulo (SP),,20715,1700
Sergipe (SE),,159,9
Tocantins (TO),,58,2
TOTAL,0,61888,4205
