https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,110,5
Alagoas (AL),,89,5
Amapá (AP),,362,9
Amazonas (AM),,1719,124
Bahia (BA),,951,30
Ceará (CE),,2386,124
Distrito Federal(DF),,716,20
Espírito Santo (ES),,754,22
Goiás (GO),,318,16
Maranhão (MA),,695,37
Mato Grosso (MT),,156,5
Mato Grosso do Sul (MS),,131,5
Minas Gerais (MG),,958,33
Pará (PA),,438,24
Paraíba (PB),,165,24
Paraná (PR),,832,41
Pernambuco (PE),,1683,160
Piauí (PI),,91,8
Rio de Janeiro (RJ),,3944,300
Rio Grande do Norte (RN),,400,20
Rio Grande do Sul (RS),,780,19
Rondônia (RO),,76,3
Roraima (RR),,142,3
Santa Catarina (SC),,884,29
São Paulo (SP),,11568,853
Sergipe (SE),,48,4
Tocantins (TO),,29,1
TOTAL,0,30425,
