https://g1.globo.com/bemestar/coronavirus/noticia/2020/03/16/brasil-tem-234-casos-confirmados-de-novo-coronavirus-diz-ministerio.ghtml,,
,,
,,
Estado,Suspeitos,Confirmados
Acre (AC),3,0
Alagoas (AL),16,1
Amapá (AP),2,0
Amazonas (AM),0,1
Bahia (BA),65,2
Ceará (CE),22,0
Distrito Federal(DF),107,13
Espírito Santo (ES),50,1
Goiás (GO),3,3
Maranhão (MA),6,0
Mato Grosso (MT),14,0
Mato Grosso do Sul (MS),12,2
Minas Gerais (MG),102,5
Pará (PA),1,0
Paraíba (PB),33,0
Paraná (PR),85,6
Pernambuco (PE),18,2
Piauí (PI),2,0
Rio de Janeiro (RJ),96,31
Rio Grande do Norte (RN),14,1
Rio Grande do Sul (RS),119,6
Rondônia (RO),2,0
Roraima (RR),2,0
Santa Catarina (SC),109,7
São Paulo (SP),1177,152
Sergipe (SE),1,1
Tocantins (TO),3,0
TOTAL,2064,234
