https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),25877,25877,635,635
Alagoas (AL),81330,81330,1957,1957
Amapá (AP),45529,45529,676,676
Amazonas (AM),125660,125660,3874,3874
Bahia (BA),277327,277327,5818,5818
Ceará (CE),224847,224759,8657,8639
Distrito Federal(DF),173631,173631,2843,2843
Espírito Santo (ES),118138,118138,3314,3314
Goiás (GO),158021,156892,3701,3627
Maranhão (MA),160968,160968,3550,3550
Mato Grosso (MT),102846,102328,3073,3025
Mato Grosso do Sul (MS),56046,56046,1024,1024
Minas Gerais (MG),242533,242533,6009,6009
Pará (PA),212428,211061,6299,6289
Paraíba (PB),111495,111495,2590,2590
Paraná (PR),148333,148333,3710,3710
Pernambuco (PE),134619,134619,7792,7792
Piauí (PI),85225,84508,1947,1931
Rio de Janeiro (RJ),234813,234813,16871,16871
Rio Grande do Norte (RN),64740,64519,2310,2302
Rio Grande do Sul (RS),151392,151392,3929,3929
Rondônia (RO),59620,59620,1217,1217
Roraima (RR),46102,45855,609,607
Santa Catarina (SC),194176,194176,2483,2483
São Paulo (SP),874754,874754,32104,32104
Sergipe (SE),74386,74386,1933,1933
Tocantins (TO),57899,57897,773,773
TOTAL,4242735,4238446,129698,129522
