https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,3867,87
Alagoas (AL),,5630,301
Amapá (AP),,6091,162
Amazonas (AM),,28802,1744
Bahia (BA),,13000,413
Ceará (CE),,35122,2308
Distrito Federal(DF),,6251,95
Espírito Santo (ES),,9918,417
Goiás (GO),,2377,95
Maranhão (MA),,18767,722
Mato Grosso (MT),,1352,37
Mato Grosso do Sul (MS),,858,17
Minas Gerais (MG),,6338,217
Pará (PA),,22697,2001
Paraíba (PB),,7508,258
Paraná (PR),,3099,150
Pernambuco (PE),,26786,2144
Piauí (PI),,3258,99
Rio de Janeiro (RJ),,34533,3905
Rio Grande do Norte (RN),,4599,184
Rio Grande do Sul (RS),,6336,176
Rondônia (RO),,3109,115
Roraima (RR),,2374,81
Santa Catarina (SC),,6607,103
São Paulo (SP),,80558,6045
Sergipe (SE),,5131,86
Tocantins (TO),,2430,51
TOTAL,,347398,22013
