https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),13146,13146,361,361
Alagoas (AL),35117,35117,1032,1032
Amapá (AP),28253,28253,413,413
Amazonas (AM),69893,69893,2792,2792
Bahia (BA),69467,69467,1800,1800
Ceará (CE),108225,108225,6087,6076
Distrito Federal(DF),47071,47071,559,559
Espírito Santo (ES),45097,45097,1621,1621
Goiás (GO),23379,23007,467,437
Maranhão (MA),78969,78969,2012,2012
Mato Grosso (MT),15328,15086,590,582
Mato Grosso do Sul (MS),7676,7676,75,75
Minas Gerais (MG),43864,43864,940,940
Pará (PA),103206,101207,4920,4870
Paraíba (PB),45057,45057,931,931
Paraná (PR),21326,21326,613,613
Pernambuco (PE),58476,58476,4782,4782
Piauí (PI),20422,19753,663,643
Rio de Janeiro (RJ),111883,111883,9848,9848
Rio Grande do Norte (RN),29721,29721,994,994
Rio Grande do Sul (RS),25659,25659,582,582
Rondônia (RO),20406,20406,500,500
Roraima (RR),14641,14459,283,281
Santa Catarina (SC),25056,25056,324,324
São Paulo (SP),275145,275145,14398,14398
Sergipe (SE),24817,24817,653,653
Tocantins (TO),10359,10359,195,195
TOTAL,1371659,1368195,58435,58314
