https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,733,28
Alagoas (AL),,1538,72
Amapá (AP),,1733,49
Amazonas (AM),,7242,584
Bahia (BA),,3734,141
Ceará (CE),,11040,712
Distrito Federal(DF),,1768,33
Espírito Santo (ES),,3226,122
Goiás (GO),,861,30
Maranhão (MA),,4227,249
Mato Grosso (MT),,344,13
Mato Grosso do Sul (MS),,274,10
Minas Gerais (MG),,2347,90
Pará (PA),,4125,330
Paraíba (PB),,1219,79
Paraná (PR),,1562,94
Pernambuco (PE),,8863,691
Piauí (PI),,784,28
Rio de Janeiro (RJ),,11721,1065
Rio Grande do Norte (RN),,1421,62
Rio Grande do Sul (RS),,1711,74
Rondônia (RO),,756,25
Roraima (RR),,806,11
Santa Catarina (SC),,2519,52
São Paulo (SP),,32187,2654
Sergipe (SE),,772,17
Tocantins (TO),,267,6
TOTAL,0,107780,7321
