https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,657,24
Alagoas (AL),,1441,64
Amapá (AP),,1482,43
Amazonas (AM),,6683,548
Bahia (BA),,3495,123
Ceará (CE),,8370,663
Distrito Federal(DF),,1649,33
Espírito Santo (ES),,3086,114
Goiás (GO),,850,30
Maranhão (MA),,4040,237
Mato Grosso (MT),,337,12
Mato Grosso do Sul (MS),,272,10
Minas Gerais (MG),,2118,89
Pará (PA),,3863,309
Paraíba (PB),,1169,76
Paraná (PR),,1514,93
Pernambuco (PE),,8643,652
Piauí (PI),,742,28
Rio de Janeiro (RJ),,11139,1019
Rio Grande do Norte (RN),,1392,61
Rio Grande do Sul (RS),,1666,65
Rondônia (RO),,705,24
Roraima (RR),,740,11
Santa Catarina (SC),,2346,52
São Paulo (SP),,31772,2627
Sergipe (SE),,730,14
Tocantins (TO),,246,4
TOTAL,0,101147,7025
