https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1785,57
Alagoas (AL),,3212,187
Amapá (AP),,3630,103
Amazonas (AM),,18392,1331
Bahia (BA),,8128,281
Ceará (CE),,22490,1476
Distrito Federal(DF),,3787,55
Espírito Santo (ES),,6198,260
Goiás (GO),,1572,67
Maranhão (MA),,10739,496
Mato Grosso (MT),,779,26
Mato Grosso do Sul (MS),,479,14
Minas Gerais (MG),,4196,146
Pará (PA),,12109,1145
Paraíba (PB),,3739,170
Paraná (PR),,2139,120
Pernambuco (PE),,16209,1381
Piauí (PI),,1905,60
Rio de Janeiro (RJ),,19987,2438
Rio Grande do Norte (RN),,2786,122
Rio Grande do Sul (RS),,3597,126
Rondônia (RO),,1789,62
Roraima (RR),,1589,40
Santa Catarina (SC),,4562,79
São Paulo (SP),,58378,4501
Sergipe (SE),,2868,50
Tocantins (TO),,1779,24
TOTAL,,218823,14817
