https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),30545,30545,691,691
Alagoas (AL),90497,90497,2226,2226
Amapá (AP),51523,51523,744,744
Amazonas (AM),159583,159583,4491,4491
Bahia (BA),349711,349711,7546,7546
Ceará (CE),272290,272104,9326,9325
Distrito Federal(DF),211442,211442,3661,3661
Espírito Santo (ES),153004,153004,3826,3826
Goiás (GO),253510,252333,5654,5654
Maranhão (MA),185000,185000,4024,4024
Mato Grosso (MT),142346,141619,3828,3773
Mato Grosso do Sul (MS),81443,81033,1581,1570
Minas Gerais (MG),353311,353311,8872,8872
Pará (PA),251292,250336,6736,6733
Paraíba (PB),131979,131979,3076,3076
Paraná (PR),210901,210901,5147,5147
Pernambuco (PE),161161,161161,8587,8587
Piauí (PI),112200,111543,2382,2368
Rio de Janeiro (RJ),306672,306672,20376,20376
Rio Grande do Norte (RN),81295,80671,2582,2569
Rio Grande do Sul (RS),240694,240694,5699,5699
Rondônia (RO),71121,71121,1449,1449
Roraima (RR),56733,56469,692,692
Santa Catarina (SC),252551,252551,3068,3068
São Paulo (SP),1103582,1103582,39007,39007
Sergipe (SE),84048,84048,2190,2190
Tocantins (TO),75106,74837,1095,1092
TOTAL,5473540,5468270,158556,158456
