https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),12913,12913,351,351
Alagoas (AL),33521,33521,993,993
Amapá (AP),27901,27901,406,406
Amazonas (AM),69022,69022,2772,2772
Bahia (BA),65244,65244,1697,1697
Ceará (CE),107064,106628,5987,5981
Distrito Federal(DF),42766,42766,537,537
Espírito Santo (ES),41652,41652,1507,1507
Goiás (GO),21865,21620,434,429
Maranhão (MA),78115,78115,1943,1943
Mato Grosso (MT),14128,13805,533,527
Mato Grosso do Sul (MS),7527,7307,72,68
Minas Gerais (MG),40966,40966,882,882
Pará (PA),100443,99313,4845,4834
Paraíba (PB),44242,44242,896,896
Paraná (PR),19819,19819,575,575
Pernambuco (PE),57089,57089,4708,4708
Piauí (PI),19158,18665,615,592
Rio de Janeiro (RJ),108803,108803,9789,9789
Rio Grande do Norte (RN),24301,24253,937,909
Rio Grande do Sul (RS),25000,25000,554,554
Rondônia (RO),19271,19271,476,476
Roraima (RR),14341,13078,281,281
Santa Catarina (SC),23808,23808,304,304
São Paulo (SP),265581,265581,14263,14263
Sergipe (SE),23319,23319,605,605
Tocantins (TO),10228,9966,192,191
TOTAL,1318087,1313667,57154,57070
