https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),12644,12644,343,343
Alagoas (AL),32864,32864,975,975
Amapá (AP),27662,27662,401,401
Amazonas (AM),68220,68220,2739,2739
Bahia (BA),56422,56422,1642,1642
Ceará (CE),105270,104422,5962,5920
Distrito Federal(DF),41326,41326,532,532
Espírito Santo (ES),41652,41652,1507,1507
Goiás (GO),21449,20863,425,409
Maranhão (MA),76698,76698,1906,1906
Mato Grosso (MT),13406,13026,504,480
Mato Grosso do Sul (MS),6913,6913,68,65
Minas Gerais (MG),38891,38891,833,833
Pará (PA),99313,96472,4834,4803
Paraíba (PB),42832,42832,864,864
Paraná (PR),18672,18672,564,564
Pernambuco (PE),55804,55804,4610,4610
Piauí (PI),18665,18023,592,574
Rio de Janeiro (RJ),108497,108497,9587,9587
Rio Grande do Norte (RN),23806,23731,896,889
Rio Grande do Sul (RS),24114,24114,540,540
Rondônia (RO),19271,19271,476,476
Roraima (RR),13078,12911,281,273
Santa Catarina (SC),22947,22947,298,298
São Paulo (SP),258508,258508,13966,13966
Sergipe (SE),21908,21908,579,579
Tocantins (TO),9681,9681,186,186
TOTAL,1280513,1274974,56110,55961
