https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,354,17
Alagoas (AL),,957,41
Amapá (AP),,1016,31
Amazonas (AM),,4801,380
Bahia (BA),,2646,96
Ceará (CE),,7267,441
Distrito Federal(DF),,1275,28
Espírito Santo (ES),,2107,76
Goiás (GO),,705,27
Maranhão (MA),,2804,166
Mato Grosso (MT),,292,11
Mato Grosso do Sul (MS),,249,9
Minas Gerais (MG),,1758,80
Pará (PA),,2422,137
Paraíba (PB),,699,58
Paraná (PR),,1348,82
Pernambuco (PE),,6194,538
Piauí (PI),,454,24
Rio de Janeiro (RJ),,8869,794
Rio Grande do Norte (RN),,1086,53
Rio Grande do Sul (RS),,1368,50
Rondônia (RO),,433,15
Roraima (RR),,452,6
Santa Catarina (SC),,1995,44
São Paulo (SP),,26158,2247
Sergipe (SE),,337,12
Tocantins (TO),,116,3
TOTAL,0,78162,5466
