https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,5251,113
Alagoas (AL),,7580,368
Amapá (AP),,7619,183
Amazonas (AM),,33508,1891
Bahia (BA),,15070,531
Ceará (CE),,37275,2671
Distrito Federal(DF),,7761,133
Espírito Santo (ES),,11484,511
Goiás (GO),,2843,108
Maranhão (MA),,26145,853
Mato Grosso (MT),,1839,46
Mato Grosso do Sul (MS),,1186,18
Minas Gerais (MG),,8011,240
Pará (PA),,31033,2545
Paraíba (PB),,10209,298
Paraná (PR),,3712,162
Pernambuco (PE),,29919,2468
Piauí (PI),,3966,134
Rio de Janeiro (RJ),,42398,4605
Rio Grande do Norte (RN),,5630,242
Rio Grande do Sul (RS),,7048,209
Rondônia (RO),,3862,137
Roraima (RR),,2682,102
Santa Catarina (SC),,7372,126
São Paulo (SP),,89483,6712
Sergipe (SE),,5912,127
Tocantins (TO),,3023,65
TOTAL,,411821,25598
