https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,234,11
Alagoas (AL),,413,27
Amapá (AP),,633,18
Amazonas (AM),,3194,255
Bahia (BA),,1962,64
Ceará (CE),,4800,284
Distrito Federal(DF),,989,26
Espírito Santo (ES),,1381,42
Goiás (GO),,486,24
Maranhão (MA),,1951,88
Mato Grosso (MT),,240,8
Mato Grosso do Sul (MS),,213,7
Minas Gerais (MG),,1419,54
Pará (PA),,1446,75
Paraíba (PB),,386,44
Paraná (PR),,1119,64
Pernambuco (PE),,3999,352
Piauí (PI),,256,16
Rio de Janeiro (RJ),,6282,570
Rio Grande do Norte (RN),,754,38
Rio Grande do Sul (RS),,1061,31
Rondônia (RO),,290,5
Roraima (RR),,304,3
Santa Catarina (SC),,1170,42
São Paulo (SP),,17826,1512
Sergipe (SE),,144,8
Tocantins (TO),,43,2
TOTAL,0,52995,3670
