https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),40723,40723,780,780
Alagoas (AL),102827,102827,2447,2447
Amapá (AP),66221,66221,899,899
Amazonas (AM),195806,195806,5161,5161
Bahia (BA),480764,480764,8954,8954
Ceará (CE),327832,327140,9952,9952
Distrito Federal(DF),247278,247278,4192,4192
Espírito Santo (ES),236978,236956,4915,4915
Goiás (GO),304272,304185,6748,6744
Maranhão (MA),199986,199986,4458,4458
Mato Grosso (MT),176044,175117,4435,4375
Mato Grosso do Sul (MS),128164,127874,2207,2183
Minas Gerais (MG),520218,520218,11562,11562
Pará (PA),289795,289777,7124,7108
Paraíba (PB),162380,162380,3592,3592
Paraná (PR),399065,399065,7634,7634
Pernambuco (PE),214562,214562,9544,9544
Piauí (PI),140245,139928,2802,2794
Rio de Janeiro (RJ),419146,419146,24900,24900
Rio Grande do Norte (RN),114822,113930,2937,2921
Rio Grande do Sul (RS),428633,428633,8434,8434
Rondônia (RO),92381,92381,1734,1734
Roraima (RR),68237,68195,773,773
Santa Catarina (SC),476681,476681,4973,4973
São Paulo (SP),1422087,1422087,45795,45795
Sergipe (SE),107721,107721,2441,2441
Tocantins (TO),89140,88979,1224,1223
TOTAL,7452008,7448560,190617,190488
