https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,4501,97
Alagoas (AL),,6682,337
Amapá (AP),,6584,168
Amazonas (AM),,30282,1781
Bahia (BA),,14204,477
Ceará (CE),,36185,2493
Distrito Federal(DF),,6930,114
Espírito Santo (ES),,10365,465
Goiás (GO),,2512,96
Maranhão (MA),,22786,784
Mato Grosso (MT),,1500,41
Mato Grosso do Sul (MS),,1023,17
Minas Gerais (MG),,6962,230
Pará (PA),,26077,2372
Paraíba (PB),,8016,279
Paraná (PR),,3331,156
Pernambuco (PE),,28366,2248
Piauí (PI),,3550,110
Rio de Janeiro (RJ),,39298,4105
Rio Grande do Norte (RN),,4759,209
Rio Grande do Sul (RS),,6559,197
Rondônia (RO),,3268,121
Roraima (RR),,2514,86
Santa Catarina (SC),,6875,109
São Paulo (SP),,83625,6220
Sergipe (SE),,5448,103
Tocantins (TO),,2696,58
TOTAL,,374898,23473
