https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,6455,165
Alagoas (AL),,11559,482
Amapá (AP),,10511,237
Amazonas (AM),,43195,2102
Bahia (BA),,21430,736
Ceará (CE),,53073,3421
Distrito Federal(DF),,11256,177
Espírito Santo (ES),,15151,664
Goiás (GO),,4377,151
Maranhão (MA),,36625,997
Mato Grosso (MT),,2709,70
Mato Grosso do Sul (MS),,1646,20
Minas Gerais (MG),,10939,289
Pará (PA),,41207,3040
Paraíba (PB),,14859,379
Paraná (PR),,5163,199
Pernambuco (PE),,35508,2933
Piauí (PI),,5506,180
Rio de Janeiro (RJ),,56732,5686
Rio Grande do Norte (RN),,8233,341
Rio Grande do Sul (RS),,9919,245
Rondônia (RO),,5477,172
Roraima (RR),,3850,120
Santa Catarina (SC),,9660,148
São Paulo (SP),,118295,7994
Sergipe (SE),,7555,172
Tocantins (TO),,4483,79
TOTAL,,555373,31199
