https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),14048,14048,378,378
Alagoas (AL),37328,37328,1091,1091
Amapá (AP),29153,29153,427,427
Amazonas (AM),73530,73530,2862,2862
Bahia (BA),79349,79349,1947,1947
Ceará (CE),116519,115524,6307,6284
Distrito Federal(DF),52281,52281,631,631
Espírito Santo (ES),50242,50240,1728,1728
Goiás (GO),26318,26263,572,545
Maranhão (MA),86025,86025,2119,2119
Mato Grosso (MT),17727,17727,674,674
Mato Grosso do Sul (MS),9062,9062,103,91
Minas Gerais (MG),50707,50707,1059,1059
Pará (PA),110411,108067,5050,5004
Paraíba (PB),49536,49536,1044,1044
Paraná (PR),26304,26304,706,706
Pernambuco (PE),61119,61119,4968,4968
Piauí (PI),23307,23307,697,697
Rio de Janeiro (RJ),116823,116823,10332,10332
Rio Grande do Norte (RN),32897,32897,1103,1103
Rio Grande do Sul (RS),29195,29195,663,663
Rondônia (RO),21970,21970,530,530
Roraima (RR),17583,17583,354,354
Santa Catarina (SC),28575,28575,362,362
São Paulo (SP),302179,302179,15351,15351
Sergipe (SE),26612,26612,725,725
Tocantins (TO),11454,11454,209,209
TOTAL,1500254,1496858,61992,61884
