https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,163,6
Alagoas (AL),,159,15
Amapá (AP),,416,11
Amazonas (AM),,2044,182
Bahia (BA),,1230,45
Ceará (CE),,3252,186
Distrito Federal(DF),,827,24
Espírito Santo (ES),,1099,30
Goiás (GO),,393,18
Maranhão (MA),,1205,48
Mato Grosso (MT),,174,5
Mato Grosso do Sul (MS),,168,5
Minas Gerais (MG),,1154,39
Pará (PA),,685,34
Paraíba (PB),,236,29
Paraná (PR),,987,48
Pernambuco (PE),,2459,216
Piauí (PI),,145,10
Rio de Janeiro (RJ),,4765,402
Rio Grande do Norte (RN),,531,25
Rio Grande do Sul (RS),,854,24
Rondônia (RO),,128,4
Roraima (RR),,222,3
Santa Catarina (SC),,975,32
São Paulo (SP),,14267,1015
Sergipe (SE),,83,5
Tocantins (TO),,33,1
TOTAL,0,38654,2462
