https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,3343,80
Alagoas (AL),,5302,280
Amapá (AP),,5655,157
Amazonas (AM),,27038,1669
Bahia (BA),,12557,399
Ceará (CE),,34573,2251
Distrito Federal(DF),,5948,90
Espírito Santo (ES),,9520,397
Goiás (GO),,2304,93
Maranhão (MA),,17212,693
Mato Grosso (MT),,1220,37
Mato Grosso do Sul (MS),,805,17
Minas Gerais (MG),,5995,201
Pará (PA),,21469,1937
Paraíba (PB),,6882,248
Paraná (PR),,2939,146
Pernambuco (PE),,25760,2057
Piauí (PI),,3074,93
Rio de Janeiro (RJ),,33589,3657
Rio Grande do Norte (RN),,4251,181
Rio Grande do Sul (RS),,5918,172
Rondônia (RO),,2774,106
Roraima (RR),,2306,83
Santa Catarina (SC),,6458,100
São Paulo (SP),,76871,5773
Sergipe (SE),,4922,82
Tocantins (TO),,2205,49
TOTAL,,330890,21048
