https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,227,10
Alagoas (AL),,324,22
Amapá (AP),,548,16
Amazonas (AM),,2888,234
Bahia (BA),,1789,59
Ceará (CE),,4598,266
Distrito Federal(DF),,963,25
Espírito Santo (ES),,1363,42
Goiás (GO),,453,23
Maranhão (MA),,1757,76
Mato Grosso (MT),,221,7
Mato Grosso do Sul (MS),,186,7
Minas Gerais (MG),,1308,51
Pará (PA),,1267,53
Paraíba (PB),,345,40
Paraná (PR),,1082,60
Pernambuco (PE),,3519,312
Piauí (PI),,217,15
Rio de Janeiro (RJ),,6172,530
Rio Grande do Norte (RN),,708,34
Rio Grande do Sul (RS),,994,29
Rondônia (RO),,250,5
Roraima (RR),,297,3
Santa Catarina (SC),,1115,39
São Paulo (SP),,16740,1345
Sergipe (SE),,124,8
Tocantins (TO),,37,2
TOTAL,0,49492,3313
