https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1590,51
Alagoas (AL),,2580,150
Amapá (AP),,2910,86
Amazonas (AM),,14168,1098
Bahia (BA),,6204,225
Ceará (CE),,18412,1280
Distrito Federal(DF),,2979,46
Espírito Santo (ES),,5087,212
Goiás (GO),,1115,52
Maranhão (MA),,8526,423
Mato Grosso (MT),,591,19
Mato Grosso do Sul (MS),,405,12
Minas Gerais (MG),,3435,127
Pará (PA),,8616,864
Paraíba (PB),,2777,154
Paraná (PR),,1906,113
Pernambuco (PE),,14309,1157
Piauí (PI),,1443,49
Rio de Janeiro (RJ),,18486,1928
Rio Grande do Norte (RN),,2033,93
Rio Grande do Sul (RS),,2917,111
Rondônia (RO),,1460,50
Roraima (RR),,1328,27
Santa Catarina (SC),,3733,73
São Paulo (SP),,47719,3949
Sergipe (SE),,2032,37
Tocantins (TO),,828,14
TOTAL,,177589,12400
