https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,2234,67
Alagoas (AL),,4031,221
Amapá (AP),,4023,127
Amazonas (AM),,20913,1433
Bahia (BA),,8581,312
Ceará (CE),,26363,1748
Distrito Federal(DF),,4619,66
Espírito Santo (ES),,7157,302
Goiás (GO),,1749,73
Maranhão (MA),,13238,576
Mato Grosso (MT),,937,29
Mato Grosso do Sul (MS),,613,16
Minas Gerais (MG),,4695,161
Pará (PA),,14734,1329
Paraíba (PB),,4786,207
Paraná (PR),,2360,127
Pernambuco (PE),,20094,1640
Piauí (PI),,2287,80
Rio de Janeiro (RJ),,26665,2852
Rio Grande do Norte (RN),,3184,146
Rio Grande do Sul (RS),,3735,144
Rondônia (RO),,2043,77
Roraima (RR),,1876,60
Santa Catarina (SC),,5175,85
São Paulo (SP),,63066,4823
Sergipe (SE),,3566,59
Tocantins (TO),,1496,32
TOTAL,,254220,16792
