https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,553,21
Alagoas (AL),,1372,58
Amapá (AP),,1187,40
Amazonas (AM),,6062,501
Bahia (BA),,3267,123
Ceará (CE),,8231,614
Distrito Federal(DF),,1566,31
Espírito Santo (ES),,2948,102
Goiás (GO),,825,30
Maranhão (MA),,3805,224
Mato Grosso (MT),,331,12
Mato Grosso do Sul (MS),,266,9
Minas Gerais (MG),,2023,88
Pará (PA),,3460,273
Paraíba (PB),,1034,74
Paraná (PR),,1492,90
Pernambuco (PE),,8145,628
Piauí (PI),,665,26
Rio de Janeiro (RJ),,10546,971
Rio Grande do Norte (RN),,1366,59
Rio Grande do Sul (RS),,1619,62
Rondônia (RO),,653,23
Roraima (RR),,668,9
Santa Catarina (SC),,2346,52
São Paulo (SP),,31174,2586
Sergipe (SE),,601,14
Tocantins (TO),,191,4
TOTAL,0,96396,6724
