https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,7021,181
Alagoas (AL),,13097,531
Amapá (AP),,11551,254
Amazonas (AM),,46473,2183
Bahia (BA),,23463,790
Ceará (CE),,59795,3813
Distrito Federal(DF),,12923,196
Espírito Santo (ES),,16894,737
Goiás (GO),,4944,164
Maranhão (MA),,40629,1062
Mato Grosso (MT),,3194,82
Mato Grosso do Sul (MS),,1925,20
Minas Gerais (MG),,13034,323
Pará (PA),,48049,3416
Paraíba (PB),,17579,438
Paraná (PR),,5820,215
Pernambuco (PE),,37507,3134
Piauí (PI),,6064,202
Rio de Janeiro (RJ),,60932,6327
Rio Grande do Norte (RN),,9282,378
Rio Grande do Sul (RS),,11010,265
Rondônia (RO),,6459,194
Roraima (RR),,4483,127
Santa Catarina (SC),,10532,156
São Paulo (SP),,129200,8560
Sergipe (SE),,8200,186
Tocantins (TO),,4881,87
TOTAL,,614941,34021
