https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,279,14
Alagoas (AL),,643,34
Amapá (AP),,842,26
Amazonas (AM),,3928,320
Bahia (BA),,2354,76
Ceará (CE),,6726,390
Distrito Federal(DF),,1146,27
Espírito Santo (ES),,1796,57
Goiás (GO),,616,26
Maranhão (MA),,2410,125
Mato Grosso (MT),,257,10
Mato Grosso do Sul (MS),,238,9
Minas Gerais (MG),,1586,62
Pará (PA),,2128,114
Paraíba (PB),,543,50
Paraná (PR),,1186,75
Pernambuco (PE),,5358,450
Piauí (PI),,364,20
Rio de Janeiro (RJ),,7944,677
Rio Grande do Norte (RN),,832,45
Rio Grande do Sul (RS),,1228,42
Rondônia (RO),,393,10
Roraima (RR),,407,4
Santa Catarina (SC),,1337,43
São Paulo (SP),,21696,1825
Sergipe (SE),,197,10
Tocantins (TO),,67,2
TOTAL,0,66501,4543
