https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,311,16
Alagoas (AL),,777,36
Amapá (AP),,918,28
Amazonas (AM),,4337,351
Bahia (BA),,2540,86
Ceará (CE),,6918,403
Distrito Federal(DF),,1213,28
Espírito Santo (ES),,1874,64
Goiás (GO),,661,27
Maranhão (MA),,2528,145
Mato Grosso (MT),,261,11
Mato Grosso do Sul (MS),,240,9
Minas Gerais (MG),,1649,71
Pará (PA),,2262,129
Paraíba (PB),,633,53
Paraná (PR),,1271,77
Pernambuco (PE),,5724,508
Piauí (PI),,408,21
Rio de Janeiro (RJ),,8504,738
Rio Grande do Norte (RN),,857,48
Rio Grande do Sul (RS),,1286,45
Rondônia (RO),,413,11
Roraima (RR),,425,6
Santa Catarina (SC),,1476,44
São Paulo (SP),,24041,2049
Sergipe (SE),,280,11
Tocantins (TO),,79,2
TOTAL,0,71886,5017
