https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,6219,148
Alagoas (AL),,10288,443
Amapá (AP),,9602,222
Amazonas (AM),,41378,2052
Bahia (BA),,18392,667
Ceará (CE),,48489,3010
Distrito Federal(DF),,9780,170
Espírito Santo (ES),,13690,604
Goiás (GO),,3702,124
Maranhão (MA),,34639,955
Mato Grosso (MT),,2429,61
Mato Grosso do Sul (MS),,1489,20
Minas Gerais (MG),,10464,271
Pará (PA),,37961,2923
Paraíba (PB),,13162,360
Paraná (PR),,4687,182
Pernambuco (PE),,34450,2807
Piauí (PI),,4931,161
Rio de Janeiro (RJ),,53388,5344
Rio Grande do Norte (RN),,8051,305
Rio Grande do Sul (RS),,9332,224
Rondônia (RO),,4942,156
Roraima (RR),,3474,116
Santa Catarina (SC),,9037,143
São Paulo (SP),,109698,7615
Sergipe (SE),,6999,158
Tocantins (TO),,4176,73
TOTAL,,514849,29314
