https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,6072,142
Alagoas (AL),,9223,424
Amapá (AP),,9313,215
Amazonas (AM),,40560,2047
Bahia (BA),,17626,638
Ceará (CE),,46506,2956
Distrito Federal(DF),,9474,162
Espírito Santo (ES),,13437,583
Goiás (GO),,3585,122
Maranhão (MA),,32620,932
Mato Grosso (MT),,2361,57
Mato Grosso do Sul (MS),,1418,19
Minas Gerais (MG),,9630,263
Pará (PA),,37296,2900
Paraíba (PB),,12862,347
Paraná (PR),,4473,181
Pernambuco (PE),,33427,2740
Piauí (PI),,4745,157
Rio de Janeiro (RJ),,52420,5277
Rio Grande do Norte (RN),,7402,305
Rio Grande do Sul (RS),,9242,218
Rondônia (RO),,4743,151
Roraima (RR),,3299,110
Santa Catarina (SC),,8778,136
São Paulo (SP),,107142,7532
Sergipe (SE),,6805,149
Tocantins (TO),,3981,71
TOTAL,,498440,28834
