https://covid19br.wcota.me/,,,,
,,,,
,,,,
Estado,Secretarias,Ministério,Óbitos,Óbitos Ministério
Acre (AC),11810,11810,321,321
Alagoas (AL),30248,30248,920,920
Amapá (AP),26437,26437,380,380
Amazonas (AM),65073,65073,2686,2686
Bahia (BA),49084,49084,1491,1491
Ceará (CE),98055,97528,5728,5717
Distrito Federal(DF),35368,35368,475,475
Espírito Santo (ES),37225,36827,1432,1425
Goiás (GO),18059,17568,355,329
Maranhão (MA),72021,72021,1797,1797
Mato Grosso (MT),11017,10659,423,401
Mato Grosso do Sul (MS),5784,5784,56,55
Minas Gerais (MG),29897,29897,720,720
Pará (PA),91708,88636,4726,4672
Paraíba (PB),38999,38999,807,807
Paraná (PR),15853,15853,498,498
Pernambuco (PE),52831,52831,4339,4339
Piauí (PI),16277,15269,534,517
Rio de Janeiro (RJ),100869,100869,9153,9153
Rio Grande do Norte (RN),20075,20075,750,750
Rio Grande do Sul (RS),20864,20864,477,477
Rondônia (RO),16499,16498,444,444
Roraima (RR),10803,10340,259,250
Santa Catarina (SC),19244,19244,263,263
São Paulo (SP),229475,229475,13068,13068
Sergipe (SE),19883,19883,511,511
Tocantins (TO),8766,8766,179,179
TOTAL,1152224,1145906,52792,52645
