https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,1447,41
Alagoas (AL),,2258,126
Amapá (AP),,2613,72
Amazonas (AM),,12599,1004
Bahia (BA),,5558,202
Ceará (CE),,16692,1114
Distrito Federal(DF),,2682,42
Espírito Santo (ES),,4599,181
Goiás (GO),,1093,47
Maranhão (MA),,7599,379
Mato Grosso (MT),,519,18
Mato Grosso do Sul (MS),,362,11
Minas Gerais (MG),,3237,119
Pará (PA),,7256,652
Paraíba (PB),,2341,135
Paraná (PR),,1835,109
Pernambuco (PE),,13275,1047
Piauí (PI),,1278,42
Rio de Janeiro (RJ),,17062,1714
Rio Grande do Norte (RN),,1928,88
Rio Grande do Sul (RS),,2542,97
Rondônia (RO),,1302,43
Roraima (RR),,1290,21
Santa Catarina (SC),,3429,65
São Paulo (SP),,45444,3709
Sergipe (SE),,1771,34
Tocantins (TO),,688,11
TOTAL,0,162699,11123
