https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,2482,72
Alagoas (AL),,4316,231
Amapá (AP),,4310,136
Amazonas (AM),,22132,1491
Bahia (BA),,11013,326
Ceará (CE),,28112,1856
Distrito Federal(DF),,4853,72
Espírito Santo (ES),,7693,325
Goiás (GO),,1846,73
Maranhão (MA),,14198,604
Mato Grosso (MT),,995,32
Mato Grosso do Sul (MS),,642,16
Minas Gerais (MG),,4977,167
Pará (PA),,16295,1519
Paraíba (PB),,5300,219
Paraná (PR),,2481,129
Pernambuco (PE),,21242,1741
Piauí (PI),,2440,85
Rio de Janeiro (RJ),,27805,3079
Rio Grande do Norte (RN),,3483,160
Rio Grande do Sul (RS),,3750,151
Rondônia (RO),,2257,87
Roraima (RR),,1985,61
Santa Catarina (SC),,5413,91
São Paulo (SP),,65995,5147
Sergipe (SE),,3967,63
Tocantins (TO),,1646,38
TOTAL,,271628,17971
