https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,214,8
Alagoas (AL),,243,20
Amapá (AP),,479,14
Amazonas (AM),,2479,207
Bahia (BA),,1644,50
Ceará (CE),,3910,233
Distrito Federal(DF),,946,25
Espírito Santo (ES),,1313,34
Goiás (GO),,438,21
Maranhão (MA),,1604,66
Mato Grosso (MT),,183,6
Mato Grosso do Sul (MS),,175,6
Minas Gerais (MG),,1283,47
Pará (PA),,1195,43
Paraíba (PB),,301,39
Paraná (PR),,1063,57
Pernambuco (PE),,3298,282
Piauí (PI),,206,15
Rio de Janeiro (RJ),,5552,490
Rio Grande do Norte (RN),,646,29
Rio Grande do Sul (RS),,923,27
Rondônia (RO),,223,5
Roraima (RR),,280,3
Santa Catarina (SC),,1091,37
São Paulo (SP),,15914,1134
Sergipe (SE),,117,7
Tocantins (TO),,37,1
TOTAL,0,45757,2906
