https://covid.saude.gov.br/,,,
,,,
,,,
Estado,Secretarias,Ministério,Óbitos
Acre (AC),,142,5
Alagoas (AL),,132,7
Amapá (AP),,393,10
Amazonas (AM),,1897,161
Bahia (BA),,1193,37
Ceará (CE),,3034,176
Distrito Federal(DF),,762,24
Espírito Santo (ES),,952,28
Goiás (GO),,378,18
Maranhão (MA),,1040,44
Mato Grosso (MT),,171,5
Mato Grosso do Sul (MS),,161,5
Minas Gerais (MG),,1077,39
Pará (PA),,640,33
Paraíba (PB),,205,26
Paraná (PR),,945,46
Pernambuco (PE),,2193,205
Piauí (PI),,123,9
Rio de Janeiro (RJ),,4543,387
Rio Grande do Norte (RN),,516,24
Rio Grande do Sul (RS),,831,24
Rondônia (RO),,110,3
Roraima (RR),,201,3
Santa Catarina (SC),,962,31
São Paulo (SP),,13894,991
Sergipe (SE),,71,5
Tocantins (TO),,33,1
TOTAL,0,36599,
